台灣MOD,#genre#
彩虹K台,udp://@224.1.4.65:11111
松視1台,udp://@230.1.2.142:11111
松視1台,udp://@224.1.4.68:11111
松視2台,udp://@224.1.4.149:11111
松視2台,udp://@224.1.4.69:11111
松視3台,udp://@224.1.4.253:11111
松視3台,udp://@224.1.4.70:11111
潘朵啦玩美台,udp://@230.1.2.39:11111
潘朵啦玩美台,udp://@230.1.2.219:11111
驚艷成人台,udp://@230.1.2.27:11111
驚艷成人台,udp://@224.1.4.204:11111
香蕉成人台,udp://@224.1.4.205:11111
香蕉成人台,udp://@230.1.2.94:11111
極限電影台,udp://@230.1.2.152:11111
極限電影台,udp://@230.1.2.32:11111
NBA 專區,udp://@224.1.4.144:11111
NBA 專區,udp://@224.1.5.100:11111
BWF 羽球,udp://@224.1.4.117:11111
電影,udp://@224.1.4.196:11111
台北動物園,udp://@224.1.4.116:11111
台北動物園,udp://@230.1.2.140:11111
實境旅行,udp://@224.1.5.36:11111
學習俱樂部,udp://@224.1.5.72:11111
學習,udp://@224.1.5.73:11111
歡唱坊,udp://@224.1.5.84:11111
影劇館+,udp://@224.1.4.102:11111
影劇館+,udp://@224.1.4.160:11111
影劇館+,udp://@224.1.4.192:11111
影劇館+,udp://@224.1.4.98:11111
甜心走路,udp://@224.1.5.145:11111
Hami運動館,udp://@224.1.5.95:11111
Hami運動館,udp://@224.1.5.143:11111
野球拳影音館,udp://@224.1.5.160:11111
中信兄弟專區,udp://@224.1.5.35:11111
賽事直播,udp://@224.1.5.169:11111
賽事直播,udp://@224.1.5.181:11111
賽事直播,udp://@224.1.5.2:11111
賽事直播,udp://@224.1.5.11:11111
賽事直播2,udp://@224.1.5.88:11111
賽事直播3,udp://@224.1.5.120:11111
四畫面,udp://@224.1.5.144:11111
四畫面,udp://@224.1.5.67:11111
四畫面,udp://@224.1.5.122:11111
花屏,udp://@224.1.5.138:11111
花屏,udp://@224.1.5.151:11111
花屏,udp://@224.1.5.50:11111
花屏,udp://@224.1.5.53:11111
CPBLTV,udp://@230.1.2.203:11111
MOD,udp://@224.1.5.129:11111
導視,udp://@224.1.5.147:11111
新天地民俗台,udp://@224.1.4.81:11111
